id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
227588,Street,Zelkova serrata,"zelkova, Japanese",Tree Lawn,6110,BILTMORE AVE,Front,30,1,55,>20,3,Electric,None, ,"5/1/2017, 8:00 PM",frost cracking,-76.69277864,39.35659137,1399206.300356254,615608.2506622523
227589,Street,Zelkova serrata,"zelkova, Japanese",Tree Lawn,6105,BILTMORE AVE,Front,28.2,1,40,>20,4,None,None, ,"5/1/2017, 8:00 PM",poor root system,-76.69226882,39.35644803,1399350.6379940957,615556.5240596682
227590,Street,Quercus rubra,"oak, northern red",Tree Lawn,6102,BILTMORE AVE,Front,23,1,45,>20,4,Electric,None, ,"5/1/2017, 8:00 PM",poor root system; crown dieback,-76.69203281,39.35623632,1399417.6362196803,615479.635762006
227591,Street,Acer platanoides,"maple, Norway",Tree Lawn,6101,BILTMORE AVE,Front,21.2,1,45,>20,4,None,None, ,"5/1/2017, 8:00 PM", ,-76.69191444,39.35628594,1399451.0449455082,615497.8220773339
227592,Street,Zelkova serrata,"zelkova, Japanese",Tree Lawn,6102,BILTMORE AVE,Front,23.5,1,50,>20,4,Electric,None, ,"5/1/2017, 8:00 PM",poor root system,-76.69196935,39.35620379,1399435.6207637638,615467.848055929
227593,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6102,BILTMORE AVE,Side,10.9,1,45,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69193655,39.35612109,1399444.9970573336,615437.7569087595
227594,Street,Liriodendron tulipifera,tuliptree,Open/Unrestricted,6101,BILTMORE AVE,Side,34.5,1,65,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.6916877,39.35626333,1399515.189830333,615489.8050329983
227595,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6102,BILTMORE AVE,Side,26.7,1,50,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM",lost major leader or limb,-76.69227096,39.35594301,1399350.6530859172,615372.5739682615
227596,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6101,BILTMORE AVE,Side,13,1,40,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69201213,39.35608415,1399423.670328334,615424.2300329208
227597,Street,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,3706,MENLO DR,Rear,3,1,25,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",DBH at 2,-76.69265101,39.35567836,1399243.510583669,615275.8192405105
